,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,37605,-1,1,-2,2,0,3,0.5,-0.5,0,Mesut,0.0,1,False,,,68,37605.jpg,0.0,Özil,0.8,False,,a,1,3,0,2083,413,33110,3161,0.0,0.0,Özil,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,548,225,549,225,548,224,549,225,4.0,,,,,
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,75.0,75.0,39476,0,0,-1,1,0,2,0.4,-0.4,0,Sokratis,0.0,2,False,Calf injury - 75% chance of playing,2020-09-11T11:00:08.600094Z,49,39476.jpg,0.0,Papastathopoulos,0.1,False,,d,1,3,0,9750,26,15820,440,0.0,0.0,Sokratis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,453,175,444,174,415,161,458,175,,,,,,
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,100.0,100.0,41270,0,0,0,0,0,2,1.2,0.2,1,David,0.7,3,False,,2020-09-10T14:30:11.632386Z,55,41270.jpg,1.0,Luiz Moreira Marinho,1.0,False,,a,1,3,2,12301,3156,34431,2542,0.1,0.4,David Luiz,91,0,0,0,3,0,0,0,0,0,0,0,14,20.2,3.2,0.0,2.3,209,84,233,67,509,192,270,93,,,4.0,,,
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,54694,0,0,-1,1,0,3,5.2,4.2,2,Pierre-Emerick,4.7,4,False,,,119,54694.jpg,4.7,Aubameyang,29.2,False,,a,1,3,14,230566,32919,1352986,111214,0.4,1.2,Aubameyang,270,1,1,1,4,0,0,0,1,0,0,0,44,68.8,52.6,73.0,19.4,59,25,39,27,29,14,35,19,,,6.0,,1.0,
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,75.0,75.0,58822,-1,1,-2,2,0,2,0.4,-0.4,0,Cédric,0.0,5,False,Calf injury - 75% chance of playing,2020-09-23T09:00:14.881983Z,48,58822.jpg,0.0,Soares,0.3,False,,d,1,3,0,1382,32,23721,2299,0.0,0.0,Cédric,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,448,172,438,171,408,158,453,172,,,,,,
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,59966,0,0,0,0,0,4,7.5,6.5,7,Alexandre,7.0,6,False,,,85,59966.jpg,7.0,Lacazette,5.3,False,,a,1,3,21,170707,29464,121408,18264,0.8,2.5,Lacazette,235,3,0,1,3,0,0,0,0,0,0,3,80,112.0,29.8,134.0,27.6,13,7,94,9,10,7,14,6,,,5.0,,3.0,
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,69140,0,0,0,0,0,2,0.0,0.0,0,Shkodran,0.0,7,False,Hamstring injury - Expected back 17 Oct,2020-08-15T10:00:11.331812Z,50,69140.jpg,0.0,Mustafi,0.0,False,,i,1,3,0,9755,35,10053,78,0.0,0.0,Mustafi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,489,189,484,188,466,179,494,189,,,,,,
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,80201,0,0,0,0,0,1,4.5,3.5,3,Bernd,4.0,8,False,,,50,80201.jpg,4.0,Leno,9.1,False,,a,1,3,12,196460,26551,151268,19542,0.8,2.4,Leno,270,0,0,1,4,0,0,0,0,0,9,2,69,67.8,0.0,0.0,6.8,60,8,486,49,468,48,159,8,,,,,,
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,84450,0,0,0,0,0,3,2.5,1.5,1,Granit,2.0,9,False,,,55,84450.jpg,2.0,Xhaka,0.8,False,,a,1,3,6,15235,1774,25381,3688,0.4,1.1,Xhaka,226,0,0,1,3,0,0,0,0,0,0,0,29,30.0,27.3,21.0,7.8,174,66,100,66,134,75,140,71,,,2.0,,,
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,92371,0,0,0,0,0,2,0.0,0.0,0,Pablo,0.0,10,False,Ankle injury - Expected back 17 Oct,2020-08-15T10:00:11.357231Z,45,92371.jpg,0.0,Marí,0.0,False,,i,1,3,0,126,19,393,50,0.0,0.0,Marí,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,404,160,391,159,352,142,410,160,,,,,,
