chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type
,,37605,0,0,0,0,0,3,3.4,,0,Mesut,0.0,1,False,,,70.99999999999999,37605.jpg,2.9,Özil,2.0,False,,a,1,3,53,0,0,0,0,0.0,7.6,Özil,1439,1,3,5,20,0,0,0,1,0,0,1,256,223.6,582.9,190.0,99.8,256.0,111.0,35.0,29.0,175.0,96.0,135.0,72.0
,,39476,0,0,0,0,0,2,3.1,,0,Sokratis,0.0,2,False,,,51.3,39476.jpg,3.0,Papastathopoulos,0.5,False,,a,1,3,57,0,0,0,0,0.0,11.4,Sokratis,1696,2,0,4,25,0,0,0,6,0,0,5,305,436.2,36.8,110.0,58.5,144.0,53.0,297.0,106.0,225.0,65.0,235.0,74.0
,,41270,0,0,0,0,0,2,3.5,,0,David,0.0,3,False,,,55.699999999999996,41270.jpg,2.8,Luiz Moreira Marinho,2.7,False,,a,1,3,94,0,0,0,0,0.0,17.1,David Luiz,2809,2,1,8,42,0,0,0,5,2,0,10,494,701.6,106.7,211.0,102.1,50.0,18.0,223.0,61.0,161.0,32.0,130.0,35.0
,,54694,0,0,0,0,0,3,5.0,,0,Pierre-Emerick,0.0,4,False,,,121.19999999999999,54694.jpg,5.7,Aubameyang,42.5,False,,a,1,3,205,0,0,0,0,0.0,17.1,Aubameyang,3136,22,5,10,44,0,0,0,3,1,0,37,807,1006.0,479.6,1369.0,285.2,8.0,4.0,54.0,42.0,9.0,3.0,11.0,7.0
,,58822,0,0,0,0,0,2,3.1,,0,Cédric,0.0,5,False,,,50.8,58822.jpg,2.9,Soares,0.6,False,,a,1,3,61,0,0,0,0,0.0,12.2,Cédric,1553,1,1,4,20,0,0,0,1,0,0,3,286,349.0,218.9,118.0,68.7,182.0,68.0,159.0,34.0,224.0,64.0,203.0,59.0
,,59966,0,0,0,0,0,4,4.0,,0,Alexandre,0.0,6,False,,,85.69999999999999,59966.jpg,3.9,Lacazette,2.7,False,,a,1,3,118,0,0,0,0,0.0,13.9,Lacazette,1867,10,7,5,25,0,0,0,8,0,0,16,387,536.4,337.7,861.0,173.8,101.0,15.0,107.0,14.0,32.0,17.0,46.0,17.0
0.0,,69140,0,0,0,0,0,2,0.0,,0,Shkodran,0.0,7,False,Hamstring injury - Expected back 31 Oct,2020-08-15T10:00:11.331812Z,50.3,69140.jpg,2.9,Mustafi,0.0,False,,i,1,3,43,0,0,0,0,0.0,8.6,Mustafi,1205,0,2,4,17,0,0,0,2,0,0,2,242,277.2,45.5,155.0,47.9,219.0,83.0,287.0,98.0,199.0,51.0,265.0,88.0
,,80201,0,0,0,0,0,1,3.5,,0,Bernd,0.0,8,False,,,50.0,80201.jpg,3.8,Leno,6.2,False,,a,1,3,114,0,0,0,0,0.0,22.8,Leno,2649,0,0,7,39,0,1,0,2,0,113,10,591,843.2,0.0,0.0,84.1,23.0,6.0,451.0,47.0,444.0,43.0,166.0,6.0
,,84450,0,0,0,0,0,3,2.8,,0,Granit,0.0,9,False,,,56.099999999999994,84450.jpg,2.4,Xhaka,0.6,False,,a,1,3,73,0,0,0,0,0.0,13.3,Xhaka,2586,1,2,10,31,0,0,0,10,0,0,2,408,486.2,298.5,110.0,89.9,125.0,46.0,120.0,78.0,226.0,116.0,154.0,82.0
0.0,,92371,0,0,0,0,0,2,0.0,,0,Pablo,0.0,10,False,Ankle injury - Expected back 25 Sep,2020-08-15T10:00:11.357231Z,45.699999999999996,92371.jpg,4.0,Marí,0.0,False,,i,1,3,8,0,0,0,0,0.0,1.8,Marí,113,0,0,1,0,0,0,0,0,0,0,1,31,27.8,1.7,0.0,3.0,353.0,129.0,351.0,133.0,386.0,152.0,363.0,132.0
