chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
,,37605,0,0,0,0,0,3,2.9,3.4,0,Mesut,0.0,1,False,,,70,37605.jpg,0.0,Özil,1.3,False,,a,1,3,0,472,472,5923,5923,0.0,0.0,Özil,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,504,200,504,200,501,198,504,200,4.0,,,,,
0.0,0.0,39476,0,0,0,0,0,2,0.0,0.0,0,Sokratis,0.0,2,False,Calf injury - Expected back 19 Sep,2020-09-11T11:00:08.600094Z,50,39476.jpg,0.0,Papastathopoulos,0.2,False,,i,1,3,0,24,24,1742,1742,0.0,0.0,Sokratis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,303,132,299,132,271,124,309,132,,,,,,
0.0,0.0,41270,0,0,0,0,0,2,0.0,0.0,0,David,0.0,3,False,Neck - Unknown return date,2020-09-10T14:30:11.632386Z,55,41270.jpg,0.0,Luiz Moreira Marinho,1.0,False,,i,1,3,0,188,188,11349,11349,0.0,0.0,David Luiz,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,398,171,400,171,385,168,402,171,,,4.0,,,
,,54694,0,0,0,0,0,3,4.5,5.0,7,Pierre-Emerick,7.0,4,False,,,120,54694.jpg,7.0,Aubameyang,47.5,False,,a,1,3,7,27629,27629,65668,65668,0.6,0.6,Aubameyang,90,1,0,1,0,0,0,0,1,0,0,0,19,36.6,15.3,54.0,10.6,17,6,31,19,7,4,6,4,,,6.0,,1.0,
,,58822,0,0,0,0,0,2,2.6,3.1,0,Cédric,0.0,5,False,,,50,58822.jpg,0.0,Soares,0.6,False,,a,1,3,0,276,276,4480,4480,0.0,0.0,Cédric,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,315,137,312,137,287,130,321,137,,,,,,
,,59966,0,0,0,0,0,4,3.5,4.0,7,Alexandre,7.0,6,False,,,85,59966.jpg,7.0,Lacazette,4.2,False,,a,1,3,7,20333,20333,7197,7197,0.8,0.8,Lacazette,86,1,0,1,0,0,0,0,0,0,0,1,29,38.6,12.7,48.0,9.9,12,3,43,7,10,6,10,4,,,5.0,,3.0,
0.0,0.0,69140,0,0,0,0,0,2,0.0,0.0,0,Shkodran,0.0,7,False,Hamstring injury - Expected back 31 Oct,2020-08-15T10:00:11.331812Z,50,69140.jpg,0.0,Mustafi,0.0,False,,i,1,3,0,22,22,85,85,0.0,0.0,Mustafi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,322,139,319,139,295,132,327,139,,,,,,
,,80201,0,0,0,0,0,1,3.0,3.5,7,Bernd,7.0,8,False,,,50,80201.jpg,7.0,Leno,8.1,False,,a,1,3,7,28776,28776,8400,8400,1.4,1.4,Leno,90,0,0,1,0,0,0,0,0,0,2,1,29,14.0,0.0,0.0,1.4,73,9,324,43,300,43,126,9,,,,,,
,,84450,0,0,0,0,0,3,2.3,2.8,3,Granit,3.0,9,False,,,55,84450.jpg,3.0,Xhaka,0.9,False,,a,1,3,3,4015,4015,2532,2532,0.5,0.5,Xhaka,77,0,0,1,0,0,0,0,0,0,0,0,11,6.8,17.2,21.0,4.5,111,44,28,16,36,20,44,22,,,2.0,,,
0.0,0.0,92371,0,0,0,0,0,2,0.0,0.0,0,Pablo,0.0,10,False,Ankle injury - Expected back 03 Oct,2020-08-15T10:00:11.357231Z,45,92371.jpg,0.0,Marí,0.0,False,,i,1,3,0,14,14,78,78,0.0,0.0,Marí,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,229,92,221,92,182,78,235,92,,,,,,
,,98745,0,0,0,0,0,2,2.6,3.1,5,Héctor,5.0,11,False,,,50,98745.jpg,5.0,Bellerín,4.6,False,,a,1,3,5,13942,13942,6584,6584,1.0,1.0,Bellerín,90,0,0,1,0,0,0,0,1,0,0,0,23,9.8,26.4,4.0,4.0,93,43,14,5,72,16,54,16,,,,,,
,,98980,0,0,0,0,0,1,2.2,2.7,0,Emiliano,0.0,12,False,,,45,98980.jpg,0.0,Martínez,4.7,False,,a,1,3,0,5795,5795,23086,23086,0.0,0.0,Martínez,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,231,38,223,27,184,27,237,38,,,,,,
0.0,0.0,101184,0,0,0,0,0,2,0.0,0.0,0,Calum,0.0,13,False,Knee injury - Unknown return date,2020-08-15T10:00:11.386295Z,45,101184.jpg,0.0,Chambers,0.0,False,,i,1,3,0,29,29,103,103,0.0,0.0,Chambers,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,232,93,224,93,186,80,238,93,,,,,,
,,111457,0,0,0,0,0,2,2.6,3.1,0,Sead,0.0,14,False,,,50,111457.jpg,0.0,Kolasinac,0.3,False,,a,1,3,0,134,134,1653,1653,0.0,0.0,Kolasinac,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,344,151,343,151,322,147,349,151,,,,,,
,,154043,0,0,0,0,0,2,2.6,3.1,6,Ainsley,6.0,15,False,,,50,154043.jpg,6.0,Maitland-Niles,2.2,False,,a,1,3,6,7372,7372,3087,3087,1.2,1.2,Maitland-Niles,90,0,0,1,0,0,0,0,0,0,0,0,21,10.2,2.8,4.0,1.7,91,42,86,21,73,17,116,41,,,,,,
,,156074,0,0,0,0,0,2,2.1,2.6,6,Rob,6.0,16,False,,,45,156074.jpg,6.0,Holding,1.6,False,,a,1,3,6,18539,18539,4442,4442,1.3,1.3,Holding,90,0,0,1,0,0,0,0,0,0,0,0,28,20.6,1.2,0.0,2.2,44,20,110,28,210,95,98,33,,,,,,
,,192895,0,0,0,0,0,2,3.0,3.5,6,Kieran,6.0,17,False,,,55,192895.jpg,6.0,Tierney,12.2,False,,a,1,3,6,16949,16949,12491,12491,1.1,1.1,Tierney,90,0,0,1,0,0,0,0,0,0,0,0,25,12.8,2.5,2.0,1.7,81,38,91,23,92,26,118,42,,,,,,
,,195735,0,0,0,0,0,3,3.2,3.7,1,Nicolas,1.0,18,False,,,80,195735.jpg,1.0,Pépé,2.0,False,,a,1,3,1,902,902,19112,19112,0.1,0.1,Pépé,15,0,0,0,0,0,0,0,0,0,0,0,3,2.0,15.3,6.0,2.3,148,70,30,18,67,38,96,45,1.0,,3.0,,2.0,
,,198849,0,0,0,0,0,3,1.9,2.4,0,Lucas,0.0,19,False,,,50,198849.jpg,0.0,Torreira,0.3,False,,a,1,3,0,364,364,1653,1653,0.0,0.0,Torreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,371,135,370,135,354,121,375,136,5.0,,,,,
,,200089,0,0,0,0,0,3,1.9,2.4,0,Joseph,0.0,20,False,,,50,200089.jpg,0.0,Willock,0.1,False,,a,1,3,0,122,122,619,619,0.0,0.0,Willock,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,374,136,373,136,357,122,378,137,,,,,,
,,200641,0,0,0,0,0,3,2.3,2.8,0,Reiss,0.0,21,False,,,55,200641.jpg,0.0,Nelson,0.1,False,,a,1,3,0,97,97,564,564,0.0,0.0,Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,442,167,443,168,435,162,444,168,6.0,,,,,
,,205533,0,0,0,0,0,4,2.3,2.8,1,Edward,1.0,22,False,,,60,205533.jpg,1.0,Nketiah,1.7,False,,a,1,3,1,1238,1238,10980,10980,0.2,0.2,Nketiah,3,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,485,52,486,52,482,53,487,53,,,,,,
0.0,0.0,209289,0,0,0,0,0,3,0.0,0.0,0,Emile,0.0,23,False,Shoulder injury - Unknown return date,2020-09-11T11:00:08.673059Z,45,209289.jpg,0.0,Smith Rowe,0.3,False,,i,1,3,0,116,116,1727,1727,0.0,0.0,Smith Rowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,274,91,268,92,235,68,280,94,,,,,,
,,223340,0,0,0,0,0,3,2.3,2.8,0,Bukayo,0.0,24,False,,,55,223340.jpg,0.0,Saka,7.5,False,,a,1,3,0,2575,2575,47825,47825,0.0,0.0,Saka,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,446,169,447,170,439,164,448,170,3.0,,,,,
,,242166,0,0,0,0,0,3,1.9,2.4,0,Matteo,0.0,25,False,,,50,242166.jpg,0.0,Guendouzi,0.2,False,,a,1,3,0,243,243,1256,1256,0.0,0.0,Guendouzi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,386,142,385,142,371,130,390,143,,,,,,
0.0,0.0,444145,0,0,0,0,0,3,0.0,0.0,0,Gabriel Teodoro,0.0,26,False,Knee injury - Expected back 31 Dec,2020-08-15T10:00:11.409498Z,50,444145.jpg,0.0,Martinelli Silva,0.0,False,,i,1,3,0,94,94,348,348,0.0,0.0,Martinelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,389,144,388,144,374,132,393,145,,,,,,
,,462424,0,0,0,0,0,2,2.1,2.6,0,William,0.0,27,False,,,45,462424.jpg,0.0,Saliba,3.2,False,,a,1,3,0,1274,1274,25287,25287,0.0,0.0,Saliba,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,298,130,293,130,264,122,304,130,,,,,,
,,47431,0,0,0,0,1,3,3.2,3.7,14,Willian,14.0,478,True,,,80,47431.jpg,14.0,Borges Da Silva,10.9,False,,a,1,3,14,112414,112414,11459,11459,1.8,1.8,Willian,74,0,3,1,0,0,0,0,0,0,0,2,35,38.6,38.0,38.0,11.5,11,5,9,7,12,6,4,3,2.0,,1.0,,,
,,226597,0,0,0,0,1,2,2.6,3.1,15,Gabriel,15.0,494,True,,,50,226597.jpg,15.0,Magalhães,4.7,False,,a,1,3,15,106611,106611,6695,6695,3.0,3.0,Gabriel,90,1,0,1,0,0,0,0,0,0,0,3,37,51.8,0.3,33.0,8.5,5,1,137,45,23,5,15,2,,,,,,
,,182539,0,0,0,0,0,3,1.9,2.4,1,Daniel,1.0,501,False,,,50,182539.jpg,1.0,Ceballos Fernández,2.0,False,,a,1,3,1,4450,4450,7323,7323,0.2,0.2,Ceballos,12,0,0,0,0,0,0,0,0,0,0,0,6,5.2,1.3,4.0,1.1,119,48,107,67,74,41,132,62,,,,,,
,,153256,0,0,0,0,0,3,1.5,2.0,3,Mohamed Naser,3.0,526,False,,,45,153256.jpg,3.0,El Sayed Elneny,0.5,False,,a,1,3,3,14548,14548,2447,2447,0.7,0.7,Elneny,90,0,0,1,0,0,0,0,0,0,0,0,15,10.6,3.8,18.0,3.2,88,33,77,46,46,27,67,30,,,,,,
,,113534,0,0,0,0,0,1,1.5,2.0,0,Matt,0.0,527,False,,,40,113534.jpg,0.0,Macey,0.1,False,,a,1,3,0,1157,1157,200,200,0.0,0.0,Macey,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,166,20,158,8,108,8,173,20,,,,,,
0.0,0.0,21205,0,0,0,0,0,1,0.0,0.0,0,Tom,0.0,28,False,Knee injury - Expected back 17 Oct,2020-08-15T10:00:11.430596Z,45,21205.jpg,0.0,Heaton,0.1,False,,i,2,7,0,68,68,161,161,0.0,0.0,Heaton,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,192,26,184,14,136,14,199,26,,,,,,
,,37339,0,0,0,0,0,2,1.1,0.0,0,Ahmed,0.0,29,False,,,45,37339.jpg,0.0,El Mohamady,0.5,False,,a,2,7,0,710,710,835,835,0.0,0.0,El Mohamady,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,195,72,187,72,139,52,202,72,,,,,,
,,40564,0,0,0,0,0,3,0.5,0.0,0,Henri,0.0,30,False,,,45,40564.jpg,0.0,Lansbury,0.3,False,,a,2,7,0,456,456,544,544,0.0,0.0,Lansbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,199,78,191,80,143,51,206,82,,,,,,
,,47390,0,0,0,0,0,2,1.1,0.0,0,Neil,0.0,31,False,,,45,47390.jpg,0.0,Taylor,0.4,False,,a,2,7,0,681,681,743,743,0.0,0.0,Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,206,78,198,78,151,59,213,78,,,,,,
,,79852,0,0,0,0,0,1,0.5,0.0,0,Jed,0.0,32,False,,,40,79852.jpg,0.0,Steer,5.3,False,,a,2,7,0,5883,5883,2417,2417,0.0,0.0,Steer,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,162,17,154,5,104,5,169,17,,,,,,
,,85242,0,0,0,0,0,3,1.6,0.0,0,Conor,0.0,33,False,,,60,85242.jpg,0.0,Hourihane,0.1,False,,a,2,7,0,66,66,190,190,0.0,0.0,Hourihane,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,465,178,465,179,460,175,467,179,1.0,,1.0,,,
,,89274,0,0,0,0,0,3,1.6,0.0,0,José Ignacio,0.0,34,False,,,60,89274.jpg,0.0,Peleteiro Romallo,0.1,False,,a,2,7,0,145,145,279,279,0.0,0.0,Jota,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,467,180,467,181,462,177,469,181,,,,,,
,,98770,0,0,0,0,0,1,0.5,0.0,0,Ørjan,0.0,35,False,,,40,98770.jpg,0.0,Nyland,16.8,False,,a,2,7,0,13226,13226,7149,7149,0.0,0.0,Nyland,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,164,18,156,6,106,6,171,18,,,,,,
,,108156,0,0,0,0,0,2,1.1,0.0,0,Bjorn,0.0,36,False,,,45,108156.jpg,0.0,Engels,0.2,False,,a,2,7,0,129,129,304,304,0.0,0.0,Engels,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,240,99,233,99,195,86,246,99,,,,,,
